영업일자,상품분류,상품명,판매수량
2024-01-16,그랜드테이블,유자티(HOT),1
2024-01-16,그랜드테이블,유자티(ICE),1
2024-01-16,그랜드테이블,아임파인주스,3
2024-01-17,그랜드테이블,카페라떼(HOT),6
2024-01-17,그랜드테이블,카푸치노(HOT),1
2024-01-17,그랜드테이블,바닐라라떼(HOT),3
2024-01-17,그랜드테이블,바닐라라떼(ICE),1
2024-01-17,그랜드테이블,카페모카(HOT),1
2024-01-17,그랜드테이블,카페모카(ICE),1
2024-01-17,그랜드테이블,초코라떼(HOT),3
2024-01-17,그랜드테이블,초코라떼(ICE),3
2024-01-17,그랜드테이블,아이스티,2
2024-01-17,그랜드테이블,청포도주스(ICE),1
2024-01-17,그랜드테이블,아메리카노(HOT),22
2024-01-17,그랜드테이블,아메리카노(ICE),8
2024-01-17,그랜드테이블,아이스메리 스트로베리,2
2024-01-17,그랜드테이블,꿀자몽블랙티(HOT),2
2024-01-17,그랜드테이블,꿀자몽블랙티(ICE),1
2024-01-17,그랜드테이블,유자티(HOT),5
2024-01-17,그랜드테이블,유자티(ICE),1
2024-01-17,그랜드테이블,아임파인주스,1
2024-01-18,그랜드테이블,카페라떼(HOT),6
2024-01-18,그랜드테이블,카페라떼(ICE),1
2024-01-18,그랜드테이블,카푸치노(HOT),2
2024-01-18,그랜드테이블,바닐라라떼(HOT),9
2024-01-18,그랜드테이블,바닐라라떼(ICE),7
2024-01-18,그랜드테이블,초코라떼(HOT),1
2024-01-18,그랜드테이블,초코라떼(ICE),2
2024-01-18,그랜드테이블,아이스티,3
2024-01-18,그랜드테이블,청포도주스(ICE),4
2024-01-18,그랜드테이블,아메리카노(HOT),22
2024-01-18,그랜드테이블,아메리카노(ICE),25
2024-01-18,그랜드테이블,아이스메리 스트로베리,7
2024-01-18,그랜드테이블,유자티(HOT),1
2024-01-18,그랜드테이블,유자티(ICE),1
2024-01-18,그랜드테이블,아임파인주스,3
2024-01-19,그랜드테이블,카페라떼(HOT),10
2024-01-19,그랜드테이블,카페라떼(ICE),3
2024-01-19,그랜드테이블,카푸치노(HOT),1
2024-01-19,그랜드테이블,바닐라라떼(HOT),3
2024-01-19,그랜드테이블,바닐라라떼(ICE),1
2024-01-19,그랜드테이블,카페모카(HOT),2
2024-01-19,그랜드테이블,카페모카(ICE),1
2024-01-19,그랜드테이블,초코라떼(ICE),6
2024-01-19,그랜드테이블,아이스티,1
2024-01-19,그랜드테이블,청포도주스(ICE),4
2024-01-19,그랜드테이블,아메리카노(HOT),37
2024-01-19,그랜드테이블,아메리카노(ICE),22
2024-01-19,그랜드테이블,아이스메리 스트로베리,4
2024-01-19,그랜드테이블,꿀자몽블랙티(HOT),2
2024-01-19,그랜드테이블,꿀자몽블랙티(ICE),2
2024-01-19,그랜드테이블,유자티(HOT),2
2024-01-19,그랜드테이블,유자티(ICE),2
2024-01-19,그랜드테이블,아임파인주스,3
2024-01-20,그랜드테이블,카페라떼(HOT),7
2024-01-20,그랜드테이블,카페라떼(ICE),5
2024-01-20,그랜드테이블,카푸치노(HOT),3
2024-01-20,그랜드테이블,바닐라라떼(HOT),4
2024-01-20,그랜드테이블,바닐라라떼(ICE),10
2024-01-20,그랜드테이블,초코라떼(HOT),3
2024-01-20,그랜드테이블,초코라떼(ICE),2
2024-01-20,그랜드테이블,아이스티,4
2024-01-20,그랜드테이블,청포도주스(ICE),4
2024-01-20,그랜드테이블,아메리카노(HOT),39
2024-01-20,그랜드테이블,아메리카노(ICE),45
2024-01-20,그랜드테이블,아이스메리 스트로베리,7
2024-01-20,그랜드테이블,꿀자몽블랙티(HOT),2
2024-01-20,그랜드테이블,꿀자몽블랙티(ICE),2
2024-01-20,그랜드테이블,유자티(HOT),1
2024-01-20,그랜드테이블,유자티(ICE),3
2024-01-20,그랜드테이블,아임파인주스,3
2024-01-21,그랜드테이블,카페라떼(HOT),14
2024-01-21,그랜드테이블,카페라떼(ICE),8
2024-01-21,그랜드테이블,바닐라라떼(HOT),8
2024-01-21,그랜드테이블,바닐라라떼(ICE),5
2024-01-21,그랜드테이블,카페모카(HOT),2
2024-01-21,그랜드테이블,카페모카(ICE),3
2024-01-21,그랜드테이블,초코라떼(HOT),5
2024-01-21,그랜드테이블,초코라떼(ICE),5
2024-01-21,그랜드테이블,아이스티,3
2024-01-21,그랜드테이블,청포도주스(ICE),4
2024-01-21,그랜드테이블,아메리카노(HOT),40
2024-01-21,그랜드테이블,아메리카노(ICE),31
2024-01-21,그랜드테이블,아이스메리 스트로베리,13
2024-01-21,그랜드테이블,꿀자몽블랙티(ICE),5
2024-01-21,그랜드테이블,유자티(HOT),2
2024-01-21,그랜드테이블,유자티(ICE),2
2024-01-21,그랜드테이블,아임파인주스,10
2024-01-22,그랜드테이블,카페라떼(HOT),5
2024-01-22,그랜드테이블,카페라떼(ICE),5
2024-01-22,그랜드테이블,바닐라라떼(ICE),1
2024-01-22,그랜드테이블,카페모카(ICE),1
2024-01-22,그랜드테이블,초코라떼(HOT),1
2024-01-22,그랜드테이블,초코라떼(ICE),2
2024-01-22,그랜드테이블,아이스티,1
2024-01-22,그랜드테이블,청포도주스(ICE),3
2024-01-22,그랜드테이블,아메리카노(HOT),25
2024-01-22,그랜드테이블,아메리카노(ICE),10
2024-01-22,그랜드테이블,아이스메리 스트로베리,6
2024-01-22,그랜드테이블,꿀자몽블랙티(HOT),3
2024-01-22,그랜드테이블,꿀자몽블랙티(ICE),1
2024-01-22,그랜드테이블,유자티(HOT),3
2024-01-22,그랜드테이블,유자티(ICE),1
2024-01-22,그랜드테이블,아임파인주스,1
